Prozessschritt,Hersteller,Beschreibung,Leistung,Einheit,Durchsatzleistung,Einheit2,Emissionen,Einheit3,Strommix Deutschland,Einheit42,Andere Betriebsmittel,Über-Kategorie,Unter-Kategorie,Kunststoffe,Kommentare,Quellen,,,
Schneidemühle,HERBOLD,SML 60/145,132,kW,2500,kg/h,0.0193248,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-de.pdf,,,
Schneidemühle,HERBOLD,SML 22/30 C,11,kW,200,kg/h,0.02013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-c-de.pdf,,,
Schneidemühle,HERBOLD,SML 35/70 C,30,kW,800,kg/h,0.013725,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-c-de.pdf,,,
Schneidemühle,HERBOLD,SML 45/101 C,75,kW,1500,kg/h,0.0183,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Leichte bis mittlere Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-sml-c-de.pdf,,,
Schneidemühle,HERBOLD,SMS 30/80,37,kW,500,kg/h,0.027084,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Harte Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SMS-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SMS 45/100,90,kW,1500,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Harte Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SMS-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SMS 80/120,160,kW,5000,kg/h,0.011712,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,Harte Beanspruchung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SMS-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SMR 45/60,75,kW,1000,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PP, PE, PVC",Rohre,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-smr-de.pdf,,,
Schneidemühle,HERBOLD,SMR 80/60,110,kW,2000,kg/h,0.02013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PP, PE, PVC",Rohre,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-smr-de.pdf,,,
Schneidemühle,HERBOLD,SMR 160/120,315,kW,5000,kg/h,0.023058,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PP, PE, PVC",Rohre,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-smr-de.pdf,,,
Schneidemühle,HERBOLD,SB 45/60,55,kW,1150,kg/h,0.01750434783,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PET-Flaschen, vorgeshredderte Materialien",Mit Zwangsführung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SB-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SB 60/145,132,kW,4000,kg/h,0.012078,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PET-Flaschen, vorgeshredderte Materialien",Mit Zwangsführung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SB-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SB 80/145,120,kW,4500,kg/h,0.00976,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PET-Flaschen, vorgeshredderte Materialien",Mit Zwangsführung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SB-Herbold-Meckesheim-Deutsch.pdf,,,
Schneidemühle,HERBOLD,SB 80/200,150,kW,14000,kg/h,0.003921428571,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,"PET-Flaschen, vorgeshredderte Materialien",Mit Zwangsführung,https://www.herbold.com/wp-content/uploads/pdf/brochures/Schneidmuehle-SB-Herbold-Meckesheim-Deutsch.pdf,,,
Feinschneidemühle,HERBOLD,SMF,90,kW,2000,kg/h,0.01647,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Feinmühle / Feinschneidmühle,,,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-smf-de.pdf,,,
Feinmühle,HERBOLD,PU 300,30,kW,500,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Feinmühle / Feinschneidmühle,PE-Granulat oder Hart-PVC-Mahlgut,,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-pu-de.pdf,,,
Feinmühle,HERBOLD,PU 800,110,kW,2000,kg/h,0.02013,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Feinmühle / Feinschneidmühle,PE-Granulat oder Hart-PVC-Mahlgut,,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-pu-de.pdf,,,
Feinmühle,HERBOLD,PU 1250,200,kW,3500,kg/h,0.02091428571,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Feinmühle / Feinschneidmühle,PE-Granulat oder Hart-PVC-Mahlgut,,https://www.herbold.com/wp-content/uploads/pdf/brochures/herbold-pu-de.pdf,,,
Schneidemühle,HERBOLD,SML 60/100 HB,110,kW,3000,kg/h,0.01342,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/55-SML-HB/Herbold-Meckesheim-Infoblatt-SML-HB_DE.pdf,,,
Schneidemühle,HERBOLD,SML 60/145 HB,132,kW,4000,kg/h,0.012078,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/55-SML-HB/Herbold-Meckesheim-Infoblatt-SML-HB_DE.pdf,,,
Schneidemühle,ZERMA,G250/250-3-2/EV,7.5,kW,120,kg/h,0.022875,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,,https://www.amis.de/maschine/schneidmuehle-zerma-typ-g250-250-3-2-ev-mit-vollschallschutz/,,,
Schneidemühle,ZERMA,GSH,18.5,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Hochleistungs-Schneidemühle (min),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/hochleistungs-schneidmuehle-gsh/,,,
Schneidemühle,ZERMA,GSP,45,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Rohr- und Profilschneidemühle (min),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/rohr-und-profilschneidmuehle-gsp/,,,
Schneidemühle,ZERMA,GSE,75,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Kompakt-Schneidemühle,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/kompakt-schneidmuehle-zerma-gse/,,,
Schneidemühle,ZERMA,GSP,90,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Rohr- und Profilschneidemühle (max),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/rohr-und-profilschneidmuehle-gsp/,,,
Schneidemühle,ZERMA,GSH,200,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Hochleistungs-Schneidemühle (max),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/hochleistungs-schneidmuehle-gsh/,,,
Schneidemühle,ZERMA,PM,90,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,,!Durchsatzleistung fehlt!,https://www.amis.de/maschine/prallscheibenmuehle-zerma-pm/,,,
Beistellmühle,ZERMA,GSL 150,1.5,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Langsamlaufend (min),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/langsamlaufende-beistellmuehle-zerma-gsl-150/,,,
Beistellmühle,ZERMA,GSL 180,4,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Langsamlaufend (max),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/langsamlaufende-beistellmuehle-zerma-gsl-180/,,,
Beistellmühle,ZERMA,GSL 300,18.5,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schneidmühle/Beistellmühle,Langsamlaufend (max),!Durchsatzleistung fehlt!,https://www.amis.de/maschine/langsamlaufende-beistellmuehle-zerma-gsl-300/,,,
Hammermühle,HERBOLD,HM 100/100 PR,200,kW,5000,kg/h,0.01464,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Hammermühle,,,https://www.herbold.com/wp-content/uploads/pdf/information/40_information-de.pdf,,,
Hammermühle,HERBOLD,HM 100/150 PR,250,kW,8000,kg/h,0.0114375,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Hammermühle,,,https://www.herbold.com/wp-content/uploads/pdf/information/40_information-de.pdf,,,
Rohrschredder,HERBOLD,EWS-R 85/90,37,kW,1000,kg/h,0.013542,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/66-EWS-R/Herbold-Meckesheim-Infoblatt-EWS-R_DE.pdf,,,
Rohrschredder,HERBOLD,EWS-150/120,55,kW,2000,kg/h,0.010065,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Schredder für Hartkunststoffe,,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/66-EWS-R/Herbold-Meckesheim-Infoblatt-EWS-R_DE.pdf,,,
Granuliermaschine,ASG,SWHB600,37,kW,300,kg/h,0.04514,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Granuliermaschine,ASG,SWHB800,45,kW,600,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Granuliermaschine,ASG,SWHB1000,75,kW,900,kg/h,0.0305,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Granuliermaschine,ASG,SWHB1200,90,kW,1200,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Nassgranuliermaschine,ASG,SWHB600-W,37,kW,300,kg/h,0.04514,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Nassgranuliermaschine,ASG,SWHB800-W,45,kW,600,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Nassgranuliermaschine,ASG,SWHB1000-W,75,kW,900,kg/h,0.0305,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Nassgranuliermaschine,ASG,SWHB1200-W,90,kW,1200,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/plastic-granulator-machines/,,,
Granuliermaschine für extrudierten Kunststoff,ASG,SP300,18.5,kW,150,kg/h,0.04514,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/extruded-plastic-granulator-machines/,,,
Granuliermaschine für extrudierten Kunststoff,ASG,SP320,22,kW,225,kg/h,0.03578666667,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/extruded-plastic-granulator-machines/,,,
Granuliermaschine für extrudierten Kunststoff,ASG,SP380,27.5,kW,400,kg/h,0.0251625,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/extruded-plastic-granulator-machines/,,,
Granuliermaschine für extrudierten Kunststoff,ASG,SP400,37,kW,400,kg/h,0.033855,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/extruded-plastic-granulator-machines/,,,
Granuliermaschine für extrudierten Kunststoff,ASG,SP630,44,kW,775,kg/h,0.02077935484,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/extruded-plastic-granulator-machines/,,,
Granuliermaschine für Hartkunststoffe,ASG,WP750,7.5,kW,75,kg/h,0.0366,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines/,,,
Granuliermaschine für Hartkunststoffe,ASG,WP1100,11,kW,150,kg/h,0.02684,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines/,,,
Granuliermaschine für Hartkunststoffe,ASG,WP1500,15,kW,250,kg/h,0.02196,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines/,,,
Granuliermaschine für Hartkunststoffe XL,ASG,SW-600,37,kW,300,kg/h,0.04514,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines-xl/,,,
Granuliermaschine für Hartkunststoffe XL,ASG,SW-800,55,kW,600,kg/h,0.03355,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines-xl/,,,
Granuliermaschine für Hartkunststoffe XL,ASG,SW-1000,75,kW,1000,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines-xl/,,,
Granuliermaschine für Hartkunststoffe XL,ASG,SW-1200,90,kW,1200,kg/h,0.02745,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,,,https://www.plasticrecyclingmachine.net/rigid-plastic-granulator-machines-xl/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-80,92,kW,220,kg/h,0.1530545455,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-100,165,kW,380,kg/h,0.1589210526,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-120,222,kW,465,kg/h,0.1747354839,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-140,295,kW,650,kg/h,0.1661076923,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-160,382,kW,1000,kg/h,0.139812,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Granuliermaschine für Hdpe-Flocken,ASG,SJ-180,630,kW,1100,kg/h,0.2096181818,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Zerkleinern,Granuliermaschine,HDPE,,https://www.plasticrecyclingmachine.net/plastic-hdpe-flakes-pelletizing-machine/,,,
Einschneckenpelletiermaschine für PET Kunststoffflocken,ASG,CT-100,90,kW,300,kg/h,0.1098,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-pelletizer-for-pet-plastic-flakes/,,,
Einschneckenpelletiermaschine für PET Kunststoffflocken,ASG,CT-130,132,kW,600,kg/h,0.08052,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-pelletizer-for-pet-plastic-flakes/,,,
Einschneckenpelletiermaschine für PET Kunststoffflocken,ASG,CT-140,160,kW,900,kg/h,0.06506666667,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-pelletizer-for-pet-plastic-flakes/,,,
Einschneckenpelletiermaschine für PET Kunststoffflocken,ASG,CT-160,250,kW,1200,kg/h,0.07625,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-pelletizer-for-pet-plastic-flakes/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ80,92,kW,220,kg/h,0.1530545455,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ100,165,kW,380,kg/h,0.1589210526,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ120,222,kW,465,kg/h,0.1747354839,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ140,295,kW,650,kg/h,0.1661076923,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ160,382,kW,1000,kg/h,0.139812,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Wasserring-Pelettiermaschine für Kunststofffolien,ASG,SJ180,630,kW,1100,kg/h,0.2096181818,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,"PP, PE",,https://www.plasticrecyclingmachine.net/pp-pe-plastic-film-water-ring-pelletizer/,,,
Pelettiermaschine für PET-Flocken,ASG,SHJ50,45,kW,150,,0.1098,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Pelettiermaschine für PET-Flocken,ASG,SHJ65,75,kW,200,,0.13725,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Pelettiermaschine für PET-Flocken,ASG,SHJ75,110,kW,300,,0.1342,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Pelettiermaschine für PET-Flocken,ASG,SHJ95,135,kW,500,,0.09882,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Einschnecken-Pelettiermaschinen,ASG,SJ-100,50,kW,150,kg/h,0.122,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-plastic-extruder-pelletizer/,,,
Einschnecken-Pelettiermaschinen,ASG,SJ-120,65,kW,150,kg/h,0.1586,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-plastic-extruder-pelletizer/,,,
Einschnecken-Pelettiermaschinen,ASG,SJ-150,82.5,kW,250,kg/h,0.12078,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-plastic-extruder-pelletizer/,,,
Einschnecken-Pelettiermaschinen,ASG,SJ-180,111,kW,300,kg/h,0.13542,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-plastic-extruder-pelletizer/,,,
Einschnecken-Pelettiermaschinen,ASG,SJ-200,220,kW,700,kg/h,0.1150285714,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/single-screw-plastic-extruder-pelletizer/,,,
Doppelschnecken-Pelettiermaschinen,ASG,SHJ50,45,kW,300,,0.0549,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Doppelschnecken-Pelettiermaschinen,ASG,SHJ65,75,kW,300,,0.0915,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Doppelschnecken-Pelettiermaschinen,ASG,SHJ75,110,kW,600,,0.0671,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,,
Doppelschnecken-Pelettiermaschinen,ASG,SHJ95,135,kW,1000,,0.04941,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Kombinierte Anlagen,Pelletiermaschine,,,https://www.plasticrecyclingmachine.net/plastic-pelletizer-for-pet-flakes/,,15400,kg pro h
Friktionswäscher,HERBOLD,FA 3000,40.5,kW,3500,kg/h,0.004235142857,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,HDPE,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Friktionswäscher,HERBOLD,FA 3000,40.5,kW,2000,kg/h,0.0074115,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,LDPE,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Friktionswäscher,HERBOLD,FA 3000,40.5,kW,3500,kg/h,0.004235142857,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,PET,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Friktionswäscher,HERBOLD,FA 60/3000,82,kW,6000,kg/h,0.005002,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,HDPE,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Friktionswäscher,HERBOLD,FA 60/3000,82,kW,3000,kg/h,0.010004,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,LDPE,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Friktionswäscher,HERBOLD,FA 60/3000,82,kW,6000,kg/h,0.005002,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Friktionswäscher,PET,,https://www.herbold.com/wp-content/uploads/pdf/datenblaetter-2019/46-Friktionswaescher/Herbold-Meckesheim-Infoblatt-Friktionswaescher_DE.pdf,,,
Heißwaschanlage,ASG,ZG1700,11.2,kW,,kg/h,#DIV/0!,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Sonstige,"PET, HDPE,…",!Durchsatzleistung fehlt!,https://www.plasticrecyclingmachine.net/hot-washer-system/,,,
Hochgeschwindigkeits-Reibungswaschanlage,ASG,HXJ400,37,kW,600,kg/h,0.02257,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Sonstige,,,https://www.plasticrecyclingmachine.net/high-speed-friction-washer/,,,
Hochgeschwindigkeits-Reibungswaschanlage,ASG,HXJ550,45,kW,800,kg/h,0.0205875,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Waschen,Sonstige,,,https://www.plasticrecyclingmachine.net/high-speed-friction-washer/,,,
