Prozessschritt,Hersteller,Beschreibung,Leistung,Einheit,Durchsatzleistung,Einheit2,Emissionen,Einheit3,Strommix Deutschland,Einheit42,Andere Betriebsmittel,Über-Kategorie,Unter-Kategorie,Kunststoffe,Kommentare,Quellen,,,
Schwingsiebmaschine,S&F,ASM-400,3,kW,1800,kg/h,0.00061,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Schwingsiebmaschine,,,https://www.sf-gmbh.de/de/schwingsiebmaschinen.html,,,
Schwingsiebmaschine,S&F,ASM-800,7.5,kW,4800,kg/h,0.000571875,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Schwingsiebmaschine,,,https://www.sf-gmbh.de/de/schwingsiebmaschinen.html,,,
Schwingsiebmaschine,S&F,ASM-1200,11,kW,10500,kg/h,0.0003834285714,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Schwingsiebmaschine,,,https://www.sf-gmbh.de/de/schwingsiebmaschinen.html,,,
Ballistik Separator,BRT HARTNER,BS 40,11,kW,1350,kg/h,0.002982222222,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Ballistik Separator,,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Ballistik Separator,BRT HARTNER,BS 45,11,kW,1800,kg/h,0.002236666667,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Ballistik Separator,,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
Ballistik Separator,BRT HARTNER,BS 60,11,kW,2700,kg/h,0.001491111111,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Ballistik Separator,,,https://www.eggersmann-recyclingtechnology.com/fileadmin/media/Broschueren/BRT_HARTNER_Brochure_DE_Web.pdf?,,,
NIR Flaschensortiermaschine,HERBOLD,,,,,,#DIV/0!,,0.366,,,Trennen,NIR Flaschensortiermaschine,,,https://www.herbold.com/wp-content/uploads/pdf/broschueren-2019/Waschanlagen/Herbold-Meckesheim-Broschuere-Waschanlagen_DE.pdf,,,
NIR Flakesortiermaschine,HERBOLD,,,,,,#DIV/0!,,0.366,,,Trennen,NIR Flakesortiermaschine,,,https://www.herbold.com/wp-content/uploads/pdf/broschueren-2019/Waschanlagen/Herbold-Meckesheim-Broschuere-Waschanlagen_DE.pdf,,,
Label-Entferner,HERBOLD,HLR 90/140,55,kW,4500,kg/h,0.004473333333,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://www.herbold.com/wp-content/uploads/pdf/information/57_information-de.pdf,,,
Label-Entferner,HERBOLD,HLR 120/230,75,kW,8000,kg/h,0.00343125,kg CO2eq pro kg,0.366,kg CO2eq pro kWh,,Trennen,Label Entferner,,,https://www.herbold.com/wp-content/uploads/pdf/information/57_information-de.pdf,,,
